Titulo,Empresa,Ubicacion,Descripcion,Responsabilidades,Requisitos,Rango salarial,Tipo de empleo,Nivel de experiencia,Habilidades requeridas,Fecha de publicacion,Estado del empleo,Categoria de trabajo
Coordinador logistico,Servientrega,Bucaramanga,Servientrega requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",2.689.591,medio_tiempo,entry,"Normas ISO, ERP, Redaccion de informes, Facturacion, Contabilidad basica, Manejo de agendas",2025-05-10 19:25:29,True,administracion
Secretaria ejecutiva,Alpina,Cali,Alpina requiere un secretaria ejecutiva para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Apoyaras a la alta direccion en la gestion de agendas, redaccion de comunicaciones, logistica de reuniones y manejo de informacion confidencial.","Tecnico en asistencia administrativa, con minimo 2 años de experiencia en cargos similares. Habilidades en redaccion y manejo de herramientas ofimaticas.",3.643.796,freelance,mid,"Excel, SAP, Redaccion de informes, Gestion documental, Contabilidad basica",2025-05-15 09:16:29,True,administracion
Director de planeacion,Coomeva,Bogota,Coomeva requiere un director de planeacion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Diseñaras estrategias organizacionales, evaluaras indicadores de gestion y lideraras procesos de planeacion a mediano y largo plazo.","Profesional en administracion, economia o ingenieria. Experiencia de 5 años en planeacion estrategica y analisis de datos. Conocimiento en Power BI.",2.658.603,medio_tiempo,entry,"Contabilidad basica, Redaccion de informes, Manejo de bases de datos, ERP, Planificacion estrategica, Presupuestos",2025-05-05 21:09:29,True,administracion
Coordinador de proyectos,Grupo Sura,Manizales,Grupo Sura requiere un coordinador de proyectos para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Estaras encargado de planificar, ejecutar y dar seguimiento a proyectos corporativos, garantizando el cumplimiento de plazos, presupuestos y objetivos estrategicos.","Profesional en administracion o ingenieria, con experiencia minima de 3 años gestionando proyectos. Certificacion PMP es un diferencial.",2.717.217,freelance,entry,"Gestion documental, Manejo de agendas, ERP, Contabilidad basica, Redaccion de informes, Excel, Presupuestos",2025-05-13 22:35:29,True,administracion
Coordinador logistico,Bancolombia,Bucaramanga,Bancolombia requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",4.043.402,pasantia,mid,"Gestion documental, Presupuestos, ERP, Manejo de agendas, Redaccion de informes",2025-04-27 21:43:29,True,administracion
Auxiliar contable,Bancolombia,Manizales,Bancolombia requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",5.743.565,pasantia,senior,"Power BI, Manejo de agendas, Normas ISO, Facturacion, Gestion documental, Presupuestos, Redaccion de informes",2025-05-13 01:20:29,True,administracion
Auxiliar contable,Postobon,Barranquilla,Postobon requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",3.908.995,tiempo_completo,mid,"Atencion al cliente, Contabilidad basica, Normas ISO, Facturacion, Excel, ERP, Redaccion de informes",2025-05-06 02:08:29,True,administracion
Auxiliar contable,Servientrega,Bogota,Servientrega requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",3.829.912,pasantia,mid,"Gestion documental, Manejo de bases de datos, Normas ISO, Manejo de agendas, Redaccion de informes, Power BI, Presupuestos",2025-04-24 08:13:29,True,administracion
Analista de gestion,TCC,Cartagena,TCC requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,2.848.608,medio_tiempo,entry,"Planificacion estrategica, Presupuestos, Atencion al cliente, Power BI, ERP",2025-05-16 06:04:29,True,administracion
Asistente administrativo,Colsubsidio,Bogota,Colsubsidio requiere un asistente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Gestionaras la correspondencia interna, apoyo en la organizacion de reuniones, seguimiento a cronogramas y soporte al area contable con la digitacion de documentos.","Tecnico o tecnologo en administracion, con al menos 1 año de experiencia en oficinas administrativas. Manejo avanzado de Excel y conocimientos basicos en facturacion.",2.566.370,pasantia,entry,"Atencion al cliente, Redaccion de informes, Power BI, Gestion documental, Presupuestos, ERP",2025-05-04 09:23:29,True,administracion
Asistente administrativo,Davivienda,Cali,Davivienda requiere un asistente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Gestionaras la correspondencia interna, apoyo en la organizacion de reuniones, seguimiento a cronogramas y soporte al area contable con la digitacion de documentos.","Tecnico o tecnologo en administracion, con al menos 1 año de experiencia en oficinas administrativas. Manejo avanzado de Excel y conocimientos basicos en facturacion.",6.242.011,pasantia,senior,"Normas ISO, Contabilidad basica, Manejo de bases de datos, Power BI",2025-05-17 22:37:29,True,administracion
Analista de gestion,Bancolombia,Cali,Bancolombia requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,2.755.709,medio_tiempo,entry,"ERP, Normas ISO, Atencion al cliente, Contabilidad basica",2025-05-17 05:30:29,True,administracion
Coordinador logistico,Bancolombia,Cali,Bancolombia requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",3.822.549,pasantia,mid,"Manejo de agendas, Facturacion, Planificacion estrategica, Excel",2025-04-26 19:25:29,True,administracion
Analista de gestion,Servientrega,Cali,Servientrega requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,6.357.937,remoto,senior,"Redaccion de informes, Normas ISO, Excel, Manejo de agendas, Facturacion, Contabilidad basica, Presupuestos",2025-05-12 03:14:29,True,administracion
Coordinador logistico,Grupo Sura,Barranquilla,Grupo Sura requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",4.479.182,freelance,mid,"Planificacion estrategica, Facturacion, Manejo de bases de datos, Atencion al cliente, Contabilidad basica, Power BI",2025-04-18 16:42:29,True,administracion
Asistente administrativo,Bancolombia,Barranquilla,Bancolombia requiere un asistente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Gestionaras la correspondencia interna, apoyo en la organizacion de reuniones, seguimiento a cronogramas y soporte al area contable con la digitacion de documentos.","Tecnico o tecnologo en administracion, con al menos 1 año de experiencia en oficinas administrativas. Manejo avanzado de Excel y conocimientos basicos en facturacion.",5.690.462,remoto,senior,"Manejo de agendas, Gestion documental, Contabilidad basica, Atencion al cliente, Planificacion estrategica, Presupuestos",2025-05-17 14:59:29,True,administracion
Coordinador de proyectos,TCC,Bucaramanga,TCC requiere un coordinador de proyectos para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Estaras encargado de planificar, ejecutar y dar seguimiento a proyectos corporativos, garantizando el cumplimiento de plazos, presupuestos y objetivos estrategicos.","Profesional en administracion o ingenieria, con experiencia minima de 3 años gestionando proyectos. Certificacion PMP es un diferencial.",4.072.199,remoto,mid,"Facturacion, Redaccion de informes, Contabilidad basica, Atencion al cliente, Manejo de agendas, Excel, Manejo de bases de datos",2025-04-24 02:06:29,True,administracion
Coordinador logistico,Grupo Sura,Bucaramanga,Grupo Sura requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",3.978.716,tiempo_completo,mid,"Manejo de bases de datos, Power BI, Planificacion estrategica, Facturacion, Presupuestos, SAP",2025-04-29 05:58:29,True,administracion
Asistente administrativo,Coomeva,Cali,Coomeva requiere un asistente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Gestionaras la correspondencia interna, apoyo en la organizacion de reuniones, seguimiento a cronogramas y soporte al area contable con la digitacion de documentos.","Tecnico o tecnologo en administracion, con al menos 1 año de experiencia en oficinas administrativas. Manejo avanzado de Excel y conocimientos basicos en facturacion.",3.542.758,pasantia,mid,"Manejo de bases de datos, Gestion documental, Power BI, Atencion al cliente, ERP",2025-04-19 06:53:29,True,administracion
Coordinador logistico,Servientrega,Manizales,Servientrega requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",6.225.728,freelance,senior,"Facturacion, Manejo de bases de datos, Atencion al cliente, SAP, Presupuestos",2025-04-24 01:27:29,True,administracion
Coordinador de proyectos,Alpina,Manizales,Alpina requiere un coordinador de proyectos para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Estaras encargado de planificar, ejecutar y dar seguimiento a proyectos corporativos, garantizando el cumplimiento de plazos, presupuestos y objetivos estrategicos.","Profesional en administracion o ingenieria, con experiencia minima de 3 años gestionando proyectos. Certificacion PMP es un diferencial.",5.512.154,freelance,senior,"SAP, ERP, Normas ISO, Contabilidad basica, Power BI",2025-05-12 19:57:29,True,administracion
Gerente administrativo,Davivienda,Manizales,Davivienda requiere un gerente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Seras responsable de liderar el area administrativa, supervisar la gestion financiera, implementar politicas internas y asegurar el cumplimiento normativo.",Administrador de empresas con minimo 6 años de experiencia gerencial. Dominio de herramientas financieras y conocimientos contables solidos.,4.381.437,medio_tiempo,mid,"Atencion al cliente, Contabilidad basica, SAP, Normas ISO",2025-04-21 21:26:29,True,administracion
Jefe de oficina,Grupo Sura,Manizales,Grupo Sura requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",5.900.616,remoto,senior,"SAP, Excel, Atencion al cliente, Power BI, Facturacion",2025-04-21 14:19:29,True,administracion
Jefe de oficina,Alpina,Manizales,Alpina requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",3.701.280,pasantia,mid,"ERP, Planificacion estrategica, Power BI, Gestion documental",2025-05-15 08:32:29,True,administracion
Gerente administrativo,Colpatria,Bogota,Colpatria requiere un gerente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Seras responsable de liderar el area administrativa, supervisar la gestion financiera, implementar politicas internas y asegurar el cumplimiento normativo.",Administrador de empresas con minimo 6 años de experiencia gerencial. Dominio de herramientas financieras y conocimientos contables solidos.,5.784.054,tiempo_completo,senior,"Excel, Normas ISO, Gestion documental, Atencion al cliente",2025-05-01 17:21:29,True,administracion
Coordinador logistico,Postobon,Medellin,Postobon requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",2.224.432,pasantia,entry,"Presupuestos, Gestion documental, Contabilidad basica, Atencion al cliente, Planificacion estrategica, Manejo de bases de datos",2025-04-19 13:10:29,True,administracion
Jefe de oficina,Coomeva,Bucaramanga,Coomeva requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",4.307.160,remoto,mid,"Planificacion estrategica, Manejo de bases de datos, Power BI, Normas ISO, Manejo de agendas, Atencion al cliente",2025-04-29 23:35:29,True,administracion
Gerente administrativo,Colsubsidio,Bogota,Colsubsidio requiere un gerente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Seras responsable de liderar el area administrativa, supervisar la gestion financiera, implementar politicas internas y asegurar el cumplimiento normativo.",Administrador de empresas con minimo 6 años de experiencia gerencial. Dominio de herramientas financieras y conocimientos contables solidos.,2.371.547,tiempo_completo,entry,"Facturacion, SAP, Excel, Contabilidad basica",2025-05-04 11:17:29,True,administracion
Jefe de oficina,Davivienda,Bogota,Davivienda requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",5.627.350,tiempo_completo,senior,"Normas ISO, Power BI, Excel, Facturacion",2025-05-06 03:50:29,True,administracion
Jefe de oficina,TCC,Bucaramanga,TCC requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",2.240.689,medio_tiempo,entry,"Planificacion estrategica, Normas ISO, SAP, Presupuestos, Manejo de agendas",2025-05-13 15:46:29,True,administracion
Asistente administrativo,Alpina,Manizales,Alpina requiere un asistente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Gestionaras la correspondencia interna, apoyo en la organizacion de reuniones, seguimiento a cronogramas y soporte al area contable con la digitacion de documentos.","Tecnico o tecnologo en administracion, con al menos 1 año de experiencia en oficinas administrativas. Manejo avanzado de Excel y conocimientos basicos en facturacion.",2.660.142,tiempo_completo,entry,"Planificacion estrategica, ERP, Power BI, Excel, Normas ISO",2025-04-21 05:08:29,True,administracion
Secretaria ejecutiva,Grupo Sura,Barranquilla,Grupo Sura requiere un secretaria ejecutiva para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Apoyaras a la alta direccion en la gestion de agendas, redaccion de comunicaciones, logistica de reuniones y manejo de informacion confidencial.","Tecnico en asistencia administrativa, con minimo 2 años de experiencia en cargos similares. Habilidades en redaccion y manejo de herramientas ofimaticas.",2.893.156,medio_tiempo,entry,"ERP, Power BI, Redaccion de informes, Facturacion, Excel",2025-05-14 04:33:29,True,administracion
Jefe de oficina,Postobon,Barranquilla,Postobon requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",2.938.219,tiempo_completo,entry,"Normas ISO, Redaccion de informes, Gestion documental, SAP, Facturacion, Atencion al cliente",2025-04-27 11:49:29,True,administracion
Jefe de oficina,Servientrega,Bucaramanga,Servientrega requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",3.165.655,freelance,entry,"Manejo de agendas, Gestion documental, SAP, Planificacion estrategica, ERP, Manejo de bases de datos, Atencion al cliente",2025-05-07 08:33:29,True,administracion
Analista de gestion,Colpatria,Manizales,Colpatria requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,4.344.468,pasantia,mid,"Gestion documental, Normas ISO, Excel, SAP, Redaccion de informes, Manejo de agendas, Planificacion estrategica",2025-05-17 03:56:29,True,administracion
Jefe de oficina,Grupo Sura,Cartagena,Grupo Sura requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",6.278.544,freelance,senior,"ERP, Power BI, Excel, Presupuestos, Planificacion estrategica, Redaccion de informes",2025-05-11 16:56:29,True,administracion
Analista de gestion,Alpina,Medellin,Alpina requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,5.980.694,freelance,senior,"Planificacion estrategica, Power BI, Presupuestos, Manejo de agendas, Excel, ERP",2025-04-19 13:50:29,True,administracion
Secretaria ejecutiva,Davivienda,Cali,Davivienda requiere un secretaria ejecutiva para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Apoyaras a la alta direccion en la gestion de agendas, redaccion de comunicaciones, logistica de reuniones y manejo de informacion confidencial.","Tecnico en asistencia administrativa, con minimo 2 años de experiencia en cargos similares. Habilidades en redaccion y manejo de herramientas ofimaticas.",2.677.131,tiempo_completo,entry,"Excel, SAP, Atencion al cliente, Power BI, ERP, Redaccion de informes, Manejo de agendas",2025-05-03 04:59:29,True,administracion
Jefe de oficina,Postobon,Medellin,Postobon requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",3.967.928,remoto,mid,"Power BI, Redaccion de informes, Gestion documental, Presupuestos, Manejo de bases de datos, Excel",2025-05-05 07:30:29,True,administracion
Auxiliar contable,Servientrega,Manizales,Servientrega requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",6.317.677,pasantia,senior,"Presupuestos, Manejo de agendas, Manejo de bases de datos, Power BI, Atencion al cliente, Normas ISO",2025-04-29 06:53:29,True,administracion
Auxiliar contable,TCC,Manizales,TCC requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",4.338.183,remoto,mid,"Manejo de agendas, Facturacion, Gestion documental, SAP, Power BI",2025-05-03 00:18:29,True,administracion
Analista de gestion,Servientrega,Cali,Servientrega requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,6.392.425,remoto,senior,"Manejo de agendas, Facturacion, Redaccion de informes, Planificacion estrategica, Power BI, Manejo de bases de datos, Presupuestos",2025-04-25 22:58:29,True,administracion
Coordinador logistico,Alpina,Medellin,Alpina requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",2.736.371,remoto,entry,"Contabilidad basica, Presupuestos, Excel, Planificacion estrategica, ERP, Facturacion, Redaccion de informes",2025-05-05 01:31:29,True,administracion
Jefe de oficina,Colpatria,Cali,Colpatria requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",2.427.628,medio_tiempo,entry,"Manejo de agendas, Redaccion de informes, Gestion documental, Presupuestos, Contabilidad basica, Atencion al cliente, Manejo de bases de datos",2025-05-19 16:02:29,True,administracion
Auxiliar contable,Bancolombia,Bucaramanga,Bancolombia requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",5.563.073,pasantia,senior,"Power BI, Planificacion estrategica, Manejo de bases de datos, ERP, Manejo de agendas",2025-04-22 21:33:29,True,administracion
Auxiliar contable,Servientrega,Barranquilla,Servientrega requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",6.020.688,tiempo_completo,senior,"Normas ISO, Excel, Facturacion, Manejo de bases de datos, Planificacion estrategica, ERP",2025-05-07 03:37:29,True,administracion
Analista de gestion,Bancolombia,Cartagena,Bancolombia requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,5.912.194,pasantia,senior,"Excel, Normas ISO, Presupuestos, Planificacion estrategica, Manejo de agendas, Manejo de bases de datos",2025-05-01 07:56:29,True,administracion
Jefe de oficina,Davivienda,Manizales,Davivienda requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",3.185.608,pasantia,entry,"Manejo de bases de datos, Presupuestos, ERP, Atencion al cliente, Excel",2025-04-27 18:40:29,True,administracion
Jefe de oficina,TCC,Bogota,TCC requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",5.778.874,pasantia,senior,"Planificacion estrategica, Facturacion, ERP, Excel",2025-05-02 16:59:29,True,administracion
Coordinador logistico,Davivienda,Manizales,Davivienda requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",2.510.917,freelance,entry,"ERP, Manejo de agendas, Planificacion estrategica, SAP, Redaccion de informes, Normas ISO, Power BI",2025-05-14 09:21:29,True,administracion
Asistente administrativo,Colsubsidio,Bogota,Colsubsidio requiere un asistente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Gestionaras la correspondencia interna, apoyo en la organizacion de reuniones, seguimiento a cronogramas y soporte al area contable con la digitacion de documentos.","Tecnico o tecnologo en administracion, con al menos 1 año de experiencia en oficinas administrativas. Manejo avanzado de Excel y conocimientos basicos en facturacion.",3.852.007,tiempo_completo,mid,"Facturacion, Atencion al cliente, SAP, Redaccion de informes, Excel",2025-04-23 21:33:29,True,administracion
Secretaria ejecutiva,Alpina,Cali,Alpina requiere un secretaria ejecutiva para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Apoyaras a la alta direccion en la gestion de agendas, redaccion de comunicaciones, logistica de reuniones y manejo de informacion confidencial.","Tecnico en asistencia administrativa, con minimo 2 años de experiencia en cargos similares. Habilidades en redaccion y manejo de herramientas ofimaticas.",4.244.781,pasantia,mid,"Normas ISO, Manejo de agendas, Excel, ERP, Power BI, Redaccion de informes, Manejo de bases de datos",2025-04-26 16:47:29,True,administracion
Analista de gestion,Davivienda,Medellin,Davivienda requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,4.211.293,freelance,mid,"Excel, ERP, Redaccion de informes, Facturacion, Contabilidad basica",2025-05-11 09:02:29,True,administracion
